Name,Description,DueDate,LengthInHours,Status
Back to school supplies shopping,"Get everything on the school supply lists for both kids. Hit Target early to avoid the rush.",2022-08-08,2,Complete
1-on-1 with manager,"Bi-weekly check-in with Janet. Discuss the promotion timeline and Q4 goals.",2022-08-10,1,Complete
Dog grooming appointment,"Max needs a bath and haircut. Drop off at PetSmart grooming at 10am.",2022-08-12,0.5,Complete
Dad's birthday dinner,"Reservation at Rosario's Italian Kitchen for Dad's birthday. He wants the seafood linguine.",2022-08-22,2.5,Complete
Code review sprint,"Clear the backlog of pending pull requests. Focus on the auth module refactor.",2022-08-24,3,Complete
Update LinkedIn profile,"Update LinkedIn with the new role title and recent project accomplishments.",2022-08-26,0.5,Complete
Wash and detail the car,"The car is filthy inside and out. Take it to the detailer on Elm Street.",2022-08-28,0.5,Complete
Buy pet food in bulk,"Stock up on Max's kibble and treats. Check Chewy for the auto-ship discount.",2022-08-30,0.5,Complete
Replace furnace filter,"Swap out the furnace filter before heating season starts. Buy the 20x25x1 size.",2022-09-02,0.5,Complete
Eye exam appointment,"Annual eye exam at VisionWorks. Prescription might need updating since getting headaches.",2022-09-08,1,Complete
Sign up for the Harvest 5K,"Registration for the fall 5K closes soon. Sign up and start training.",2022-09-10,0.25,Complete
Schedule family photos,"Book the fall family photo session with the photographer before slots fill up.",2022-09-14,0.5,Complete
Neighborhood block party,"Bring a side dish and lawn chairs. The Hendersons are organizing the bounce house.",2022-09-17,4,Complete
Sprint retrospective,"Sprint retro with the team. Bring data on the velocity changes from this sprint.",2022-09-19,1,Complete
Deep clean the kitchen,"Degrease the stove hood, clean inside the oven, and organize the pantry.",2022-09-22,3,Complete
Pick up prescription refills,"Blood pressure meds and Rachel's allergy prescription are ready at Walgreens.",2022-09-24,0.5,Complete
Prepare quarterly OKRs,"Draft the objectives and key results for Q4. Align with department goals.",2022-09-28,2,Complete
Pay credit card bill,"September credit card statement. The back-to-school spending was high.",2022-09-30,0.25,Complete
Flu shot appointment,"Get flu shots for the whole family at CVS pharmacy. Check if they have the kids' version.",2022-10-03,0.5,Complete
Fall dentist cleaning,"Second dental cleaning of the year. Need to schedule kids' appointments too.",2022-10-06,1.5,Complete
Winterize the garden,"Pull up dead plants, mulch the perennials, and cover the raised beds for winter.",2022-10-10,3,Complete
Halloween costume shopping,"Take the kids to the costume store. Emma wants to be a witch and Jake wants to be a dinosaur.",2022-10-15,2,Complete
Oil change for the Honda,"Routine oil change. Also ask about the brake pad inspection.",2022-10-18,1,Complete
Wine tasting event at Cedar Creek,"Wine tasting afternoon at Cedar Creek Vineyard. Bring a designated driver.",2022-10-22,3,Complete
Backup computer files,"Run a full backup to the external drive. Check that cloud sync is current.",2022-10-25,1,Complete
Attend neighborhood HOA meeting,"HOA meeting at the clubhouse. Agenda includes the new parking rules and landscaping budget.",2022-10-28,1.5,Complete
Jake's birthday,"Jake's birthday celebration. He wants to go to the trampoline park this year.",2022-11-03,3,Complete
Leaf cleanup and yard waste bags,"Rake all the leaves and bag them for yard waste pickup on Thursday.",2022-11-06,3,Complete
Order firewood for winter,"Order a cord of seasoned oak from Brennan's Firewood. They deliver on Saturdays.",2022-11-08,0.25,Complete
Clean gutters before winter,"Clean out all gutters and downspouts. Check for any damage that needs repair.",2022-11-11,3,Complete
Snow tire swap,"Take the car in to swap to snow tires for the winter. Appointment at Discount Tire.",2022-11-14,1.5,Complete
IT security training,"Complete the mandatory annual cybersecurity awareness training module.",2022-11-16,1,Complete
Thanksgiving dinner prep,"Start brining the turkey. Prep the sweet potato casserole and green bean casserole.",2022-11-22,6,Complete
Pay electric bill,"November electric bill. Heating costs are starting to ramp up.",2022-11-25,0.25,Complete
Donate old clothes to Goodwill,"Box up the clothes in the guest room closet that nobody wears anymore.",2022-11-28,1,Complete
Pay mortgage,"December mortgage payment.",2022-12-01,0.25,Complete
Finalize quarterly budget report,"Finish the Q4 budget variance analysis and submit to finance.",2022-12-05,3,Complete
Contract renewal review,"Review the vendor contract terms before the auto-renewal date. Flag any pricing concerns.",2022-12-08,2,Complete
Schedule chimney inspection,"Chimney hasn't been inspected in two years. Call Acme Chimney Service.",2022-12-10,0.25,Complete
Help Jake with science fair project,"Jake's science fair project is due next week. He wants to do the volcano experiment.",2022-12-12,3,Complete
Christmas shopping deadline,"Finish all remaining Christmas shopping. Check the list twice and wrap everything.",2022-12-20,4,Complete
Holiday card mailing,"Address and stamp all the holiday cards. The family photo cards arrived from Shutterfly.",2022-12-21,2,Complete
Plan holiday dinner menu,"Finalize the Christmas dinner menu and create the shopping list.",2022-12-23,1,Complete
Year-end inventory count,"Participate in the annual physical inventory count. Bring a clipboard and comfortable shoes.",2022-12-28,8,Complete
New Year's Eve plans,"Finalize New Year's Eve plans. Confirm headcount and buy champagne and appetizers.",2022-12-30,2,Complete
Gather tax documents,"Collect all W-2s, 1099s, and mortgage interest statements for 2022 tax filing.",2023-01-06,3,Complete
Review investment portfolio,"Annual review of investment allocations. Market was volatile so check the rebalancing needs.",2023-01-11,2,Complete
Update household budget,"New year, new budget. Review last year's actuals and set targets for each category.",2023-01-15,1,Complete
Gym membership renewal,"Gym membership is up for renewal. Decide whether to keep the same plan or upgrade.",2023-01-18,0.5,Complete
Sister's birthday,"Rachel's birthday. She's been hinting about the new Bose noise-canceling headphones.",2023-01-28,1.5,Complete
Pay mortgage,"January mortgage payment due on the 1st.",2023-01-01,0.25,Complete
Cancel unused subscriptions,"Audit all subscriptions and cancel anything we haven't used in the past month.",2023-01-22,0.5,Complete
Weekly team standup,"First standup of the new year. Set priorities for Q1.",2023-01-09,0.5,Complete
Car registration renewal,"Renew vehicle registration. Emissions test passed last week.",2023-02-04,1,Complete
Valentine's Day reservation,"Make dinner reservation and order a dozen roses for delivery.",2023-02-10,1,Complete
Pay electric bill,"February electric bill. Heating costs still high.",2023-02-15,0.25,Complete
Dinner with the Hendersons,"The Hendersons invited us over for dinner Saturday. Bring a bottle of red and dessert.",2023-02-18,3,Complete
Coffee catch-up with Lisa,"Meet Lisa at Blue Bottle Coffee to catch up. Haven't seen her since New Year's.",2023-02-21,1.5,Complete
Submit expense report,"Submit expenses from the January sales conference. Receipts are in the folder on the desk.",2023-02-24,1,Complete
Board meeting prep,"Compile the executive summary and financial overview for the quarterly board meeting.",2023-02-28,4,Complete
Spring cleaning weekend,"Deep clean the house. This year focus on the garage and attic.",2023-03-04,8,Complete
Book club meeting,"March book club. This month's pick is a historical fiction about the 1920s.",2023-03-07,2,Complete
Mom's birthday,"Pick up flowers and carrot cake from Delilah's Bakery for Mom's birthday.",2023-03-14,2,Complete
Annual physical exam,"Annual checkup with Dr. Morrison. Remember to fast the night before.",2023-03-20,2,Complete
Haircut appointment,"Haircut at Tony's Barber Shop. Long overdue.",2023-03-23,0.5,Complete
Replace smoke detector batteries,"All smoke detectors are chirping. Buy 9V batteries and replace them all.",2023-03-26,0.5,Complete
Pay credit card bill,"March credit card bill. Keep an eye on the spending trend.",2023-03-31,0.25,Complete
Easter brunch prep,"Prepare Easter brunch. Need to buy ham, deviled egg ingredients, and the asparagus.",2023-04-06,3,Complete
Dentist cleaning,"Spring dental cleaning at Bright Smile. Ask about whitening options.",2023-04-11,1.5,Complete
File taxes,"Complete and file 2022 federal and state tax returns before the deadline.",2023-04-13,4,Complete
Spring garden planting,"Plant the garden. This year adding strawberries and green beans to the mix.",2023-04-16,4,Complete
Kids' soccer game,"Emma's first soccer game of the season at Riverside Park.",2023-04-22,2,Complete
Allergy meds refill,"Spring allergies hitting hard. Refill Zyrtec and pick up more tissues.",2023-04-24,0.25,Complete
Client presentation prep,"Prepare slides for the Meridian Corp client presentation. Focus on the ROI metrics.",2023-04-26,3,Complete
Client presentation to Meridian Corp,"Present the Q1 results and strategy update to Meridian Corp stakeholders.",2023-04-28,1.5,Complete
Pay mortgage,"May mortgage payment.",2023-05-01,0.25,Complete
AC maintenance and filter change,"Schedule AC tune-up. Last summer it was struggling on the hottest days.",2023-05-03,1,Complete
Emma's birthday party,"Emma turns 6! Party at the house with a princess theme.",2023-05-07,4,Complete
Call Mom for Mother's Day,"Mother's Day call. Emma and Jake made cards and a coupon book.",2023-05-14,0.5,Complete
Vet appointment for Max,"Annual vet visit for Max. He's due for rabies booster and heartworm test.",2023-05-16,1.5,Complete
Meal prep Sunday,"Prep lunches for the work week. Turkey wraps, overnight oats, and cut fruit.",2023-05-21,2,Complete
Date night movie and dinner,"See the new thriller at AMC and grab dinner after. Babysitter confirmed.",2023-05-26,4,Complete
Pressure test sprinkler system,"Turn on sprinklers for the season. Zone 3 had issues last year.",2023-05-29,1.5,Complete
Pool opening and chemical balance,"Open the pool. Clean the cover, check the pump, test the water.",2023-06-03,3,Complete
Kids camp registration,"Register Emma and Jake for Camp Pinewood summer sessions.",2023-06-05,0.5,Complete
File quarterly estimated taxes,"Q2 estimated tax payment due. Calculate based on current year income.",2023-06-15,1,Complete
Wedding anniversary dinner,"Eighth anniversary. Reservations at Maison Laurent, the French place downtown.",2023-06-12,3,Complete
Renew car insurance,"Shop around for car insurance quotes before the renewal auto-processes.",2023-06-18,1,Complete
Weekly team standup,"Monday standup. Discuss the mid-year roadmap adjustments.",2023-06-19,0.5,Complete
Pay electric bill,"June electric bill. AC is running a lot already.",2023-06-23,0.25,Complete
Game night at Dave's house,"Board game night. Dave got the new Wingspan expansion.",2023-06-24,3,Complete
Tire rotation,"Tire rotation at Discount Tire. Check alignment while they're at it.",2023-06-28,1,Complete
4th of July BBQ shopping,"Stock up for the annual BBQ. Extra guests this year so get more burgers.",2023-07-01,2,Complete
Volunteer at food bank,"Saturday morning food bank shift. Meet at First Baptist Church at 9am.",2023-07-08,3,Complete
Deploy to staging environment,"Push the v2.5 release candidate to staging. Coordinate with QA.",2023-07-10,2,Complete
Sushi dinner downtown,"Finally trying Saka Sushi on 5th Street. Reservation at 7:30.",2023-07-14,2,Complete
Best friend Mike's birthday dinner,"Mike's birthday dinner at Smith & Wollensky. Reservation for 8.",2023-07-19,2,Complete
Write unit tests for auth module,"Increase test coverage on the auth module to 90% branch coverage.",2023-07-21,3,Complete
Research new phone plans,"Phone plan comparison: Mint Mobile, Visible, and T-Mobile. Our bill is too high.",2023-07-24,1,Complete
Reserve hotel for beach trip,"Book the Myrtle Beach suite for the August family vacation.",2023-07-26,0.5,Complete
Pack for camping weekend,"Pack everything for Shenandoah camping trip. Bear canister is in the garage.",2023-07-28,1.5,Complete
Pay mortgage,"August mortgage payment.",2023-08-01,0.25,Complete
Finalize quarterly budget report,"Q2 budget report. Revenue was up but so were expenses.",2023-08-04,3,Complete
Back to school supplies shopping,"School supply lists are longer than ever. Hit Target and Staples.",2023-08-07,2,Complete
Coach Jake's basketball practice,"Run drills at the community center gym. Focus on dribbling and passing.",2023-08-10,1.5,Complete
Order new running shoes,"Current Brooks have 500 miles on them. Order the Ghost 15.",2023-08-13,0.5,Complete
Dog grooming appointment,"Max is getting shaggy. PetSmart grooming at 10am on Saturday.",2023-08-16,0.5,Complete
Dad's birthday dinner,"Dad's birthday at Rosario's. He wants the seafood linguine again.",2023-08-22,2.5,Complete
Complete annual review self-assessment,"Fill out the self-assessment for the performance review cycle.",2023-08-25,2,Complete
Performance review meeting,"Annual review with Janet. Bring the self-assessment and accomplishments list.",2023-08-28,1,Complete
Wash and detail the car,"Post-beach-trip car detail. Sand everywhere.",2023-08-30,0.5,Complete
Pay credit card bill,"August statement. Vacation spending was significant.",2023-08-31,0.25,Complete
Replace furnace filter,"Swap the furnace filter before fall. Buy the 20x25x1 size from Lowe's.",2023-09-02,0.5,Complete
Eye exam appointment,"Annual eye exam at VisionWorks. The reading glasses prescription might need updating.",2023-09-07,1,Complete
Sign up for the Harvest 5K,"Harvest 5K registration. Try to beat last year's time of 27 minutes.",2023-09-11,0.25,Complete
Neighborhood block party,"Annual block party. We're signed up to bring the fruit salad this year.",2023-09-16,4,Complete
Take kids to the science museum,"The dinosaur exhibit closes in October. Take the kids this weekend.",2023-09-23,4,Complete
Update project roadmap,"Revise the product roadmap based on the strategy meeting outcomes.",2023-09-25,2,Complete
Prepare quarterly OKRs,"Draft Q4 OKRs. Focus on the platform migration and customer retention.",2023-09-28,2,Complete
Flu shot appointment,"Family flu shots at CVS. Bring the insurance cards.",2023-10-02,0.5,Complete
Winterize the garden,"Pull up dead plants and mulch perennials for winter protection.",2023-10-07,3,Complete
Fall dentist cleaning,"Dental cleaning. The kids need their appointments scheduled too.",2023-10-10,1.5,Complete
Halloween costume shopping,"Jake wants to be a robot this year. Emma is going as a cat.",2023-10-14,2,Complete
Wine tasting event at Cedar Creek,"Autumn wine tasting at Cedar Creek. Beautiful foliage this time of year.",2023-10-21,3,Complete
Recycle old electronics,"Drop off the old laptop and tablet at Best Buy e-waste recycling.",2023-10-24,1,Complete
Photo album project,"Sort through 2022-2023 photos and order prints for the family album.",2023-10-27,3,Complete
Pay electric bill,"October electric bill. Heating starting to kick in.",2023-10-30,0.25,Complete
Jake's birthday,"Jake turns 7! Trampoline park party again per his request.",2023-11-03,3,Complete
Leaf cleanup and yard waste bags,"Big leaf cleanup day. Bag everything for Thursday yard waste pickup.",2023-11-05,3,Complete
Order firewood for winter,"Order two cords of seasoned oak this year. The fireplace insert uses more.",2023-11-07,0.25,Complete
Clean gutters before winter,"Gutter cleaning day. The back gutters are always the worst.",2023-11-11,3,Complete
Snow tire swap,"Swap to snow tires at Discount Tire. Winter storm forecast for next week.",2023-11-13,1.5,Complete
New hire onboarding session,"Walk the new junior developer through the codebase and CI/CD pipeline.",2023-11-15,3,Complete
Thanksgiving dinner prep,"Turkey brine day. Also prep the sides for tomorrow's feast.",2023-11-22,6,Complete
Return Amazon packages,"Return the shoes that didn't fit and the duplicate kitchen gadget.",2023-11-27,0.5,Complete
Donate old clothes to Goodwill,"Pre-holiday closet purge. Box up everything for Goodwill.",2023-11-29,1,Complete
Pay mortgage,"December mortgage payment.",2023-12-01,0.25,Complete
Finalize quarterly budget report,"Q3 budget wrap-up. Underspent on travel, overspent on software licenses.",2023-12-04,3,Complete
Contract renewal review,"Annual vendor contract review. Three contracts are up for renewal this month.",2023-12-07,2,Complete
Schedule chimney inspection,"Time for the chimney inspection. Last one was December 2022.",2023-12-09,0.25,Complete
Assemble kids' new bookshelf,"The IKEA BILLY bookshelf for the playroom. Should take an hour or two.",2023-12-11,2,Complete
IT security training,"Annual cybersecurity training. New module on phishing awareness.",2023-12-13,1,Complete
Install doorbell camera,"Install the Ring doorbell camera. Want it up before the holiday package deliveries.",2023-12-15,1,Complete
Christmas shopping deadline,"Final shopping push. Still need gifts for Dad, Rachel, and the kids' teachers.",2023-12-19,4,Complete
Holiday card mailing,"Address and mail all 50 holiday cards. Use the stamp roll from the post office.",2023-12-20,2,Complete
Plan holiday dinner menu,"Christmas dinner menu: prime rib, mashed potatoes, roasted Brussels sprouts, pie.",2023-12-22,1,Complete
Year-end inventory count,"Annual inventory count at the office. Long day but mandatory.",2023-12-28,8,Complete
New Year's Eve plans,"New Year's at the Hendersons' house. Bringing champagne and shrimp cocktail.",2023-12-30,2,Complete
Gather tax documents,"Collect all 2023 W-2s, 1099s, and deduction records.",2024-01-05,3,Complete
Review investment portfolio,"Investment review. 2023 market recovery means some rebalancing needed.",2024-01-10,2,Complete
Pay mortgage,"January mortgage. New escrow amount this year.",2024-01-01,0.25,Complete
Weekly team standup,"First standup of 2024. Set the tone for Q1 priorities.",2024-01-08,0.5,Complete
Gym membership renewal,"Decide on gym renewal. Consider adding the family plan option.",2024-01-15,0.5,Complete
Schedule kids' dental cleanings,"Both kids due for cleanings. Try to get back-to-back morning appointments.",2024-01-17,0.25,Complete
Renew passport,"Passport expires in May. Fill out the renewal form and get photos at CVS.",2024-01-20,1.5,Complete
Pizza night with kids,"Homemade pizza Friday. Let the kids pick their own toppings.",2024-01-26,2,Complete
Sister's birthday,"Rachel's birthday. Got her the spa gift certificate she wanted.",2024-01-28,1.5,Complete
Batch cook meals for the week,"Sunday meal prep. Making chili, roasted chicken, and grain bowls.",2024-01-29,3,Complete
Car registration renewal,"Registration renewal. Emissions test appointment first on Thursday.",2024-02-02,1,Complete
Pay electric bill,"February electric bill. Slightly lower than January.",2024-02-05,0.25,Complete
Valentine's Day reservation,"Valentine's dinner at Maison Laurent. 7:30 reservation, babysitter at 6.",2024-02-10,1,Complete
Coffee catch-up with Lisa,"Catch up with Lisa at Blue Bottle. She just got back from her Europe trip.",2024-02-13,1.5,Complete
Dinner with the Hendersons,"Saturday dinner at the Hendersons'. They're trying a new Thai recipe.",2024-02-17,3,Complete
1-on-1 with manager,"Check-in with Janet. Discuss the Q1 objectives and team expansion.",2024-02-20,1,Complete
Grocery run for the week,"Weekly grocery trip. We're trying to eat more vegetables this month.",2024-02-24,1.5,Complete
Submit expense report,"February expense report. Conference registration and team lunch receipts.",2024-02-27,1,Complete
Board meeting prep,"Q1 board meeting prep. The investor deck needs updating.",2024-02-29,4,Complete
Spring cleaning weekend,"Spring cleaning. Focus on the basement this year, it's gotten bad.",2024-03-02,8,Complete
Book club meeting,"March book club. Reading a mystery novel this month.",2024-03-06,2,Complete
Return library books,"Library books are two weeks overdue. Return them and pay the fine.",2024-03-08,0.5,Pending
Mom's birthday,"Mom's birthday. Picking up her favorite carrot cake and a bouquet of tulips.",2024-03-14,2,Complete
Annual physical exam,"Annual physical with Dr. Morrison. Fasting blood work at 8am.",2024-03-19,2,Complete
Replace windshield wipers,"Wipers are terrible in the rain. Get new Bosch Icons from AutoZone.",2024-03-22,0.25,Complete
Baby shower for Sarah,"Sarah's baby shower at the community center. Got the stroller from her registry.",2024-03-24,3,Complete
Fix leaky faucet in bathroom,"The master bath faucet has been dripping. Probably needs a new cartridge.",2024-03-27,1,Complete
Attend PTA meeting,"PTA meeting about the new playground equipment fundraiser.",2024-03-28,1.5,Complete
Pay credit card bill,"March statement. Need to review the auto-renewal charges.",2024-03-31,0.25,Complete
Dentist cleaning,"Spring dental cleaning. No issues expected, just routine.",2024-04-04,1.5,Complete
Easter brunch prep,"Easter brunch for 12 people. Ham, scalloped potatoes, deviled eggs, and carrot cake.",2024-04-01,3,Complete
File taxes,"File 2023 taxes. Have all documents ready. Using TurboTax again.",2024-04-12,4,Complete
Spring garden planting,"Garden planting day. Adding sunflowers this year for the kids to watch grow.",2024-04-14,4,Complete
Allergy meds refill,"Allergies are brutal this spring. Refill all the meds.",2024-04-17,0.25,Complete
Q3 planning meeting,"Q2 planning session. Bring the competitive analysis and feature requests list.",2024-04-22,2,Complete
Yoga class registration,"Sign up for the spring yoga session at the community center.",2024-04-24,0.25,Complete
Flea and tick treatment for Max,"Apply the monthly flea treatment. Reorder the next supply from Chewy.",2024-04-26,0.25,Complete
Tire rotation,"Tire rotation day. Also need the alignment checked after hitting that pothole.",2024-04-29,1,Complete
Pay mortgage,"May mortgage payment.",2024-05-01,0.25,Complete
AC maintenance and filter change,"Pre-summer AC tune-up. Replace all filters throughout the house.",2024-05-06,1,Complete
Emma's birthday party,"Emma turns 7! Pool party theme since the pool is open.",2024-05-07,4,Complete
Call Mom for Mother's Day,"Mother's Day call and delivery of the flower arrangement.",2024-05-12,0.5,Complete
Vet appointment for Max,"Max's annual checkup. Needs boosters and a dental cleaning this time.",2024-05-15,1.5,Complete
Sprint retrospective,"Sprint retro. Velocity was good this sprint, capture what worked.",2024-05-17,1,Complete
Get quotes for deck staining,"The deck desperately needs staining. Get three quotes this week.",2024-05-20,0.5,Complete
Date night at Olive Garden,"Olive Garden date night. Use the gift card from Christmas.",2024-05-24,2.5,Complete
Marathon training run - 10 miles,"10-mile long run along the river trail. Bring water and energy gels.",2024-05-26,2,Complete
Pressure test sprinkler system,"Sprinkler startup. Check each zone and replace the broken heads.",2024-05-28,1.5,Complete
Pool opening and chemical balance,"Open the pool early this year. The pump seal needs checking.",2024-06-01,3,Complete
Kids camp registration,"Camp Pinewood registration for both kids. Jake wants the wilderness track.",2024-06-03,0.5,Complete
Wedding anniversary dinner,"Ninth anniversary dinner. That new Italian place in the historic district.",2024-06-12,3,Complete
Father's Day gift shopping,"Dad wants a Traeger grill this year. Split the cost with Rachel.",2024-06-13,1,Complete
Renew car insurance,"Insurance shopping. Got a quote from Geico that's $200 less per year.",2024-06-17,1,Complete
File quarterly estimated taxes,"Q2 estimated tax payment. Freelance income was higher this quarter.",2024-06-17,1,Complete
Pay electric bill,"June electric bill. Consider raising the thermostat one degree.",2024-06-22,0.25,Complete
Game night at Dave's house,"Game night at Dave's. He just bought Gloomhaven. Bring snacks.",2024-06-29,3,Complete
4th of July BBQ shopping,"Annual BBQ supplies. Plus new patio string lights.",2024-07-02,2,Complete
Book flights to Denver,"Book Denver flights for the August trip. Nonstop on Southwest is cheapest.",2024-07-05,1,Complete
Write API documentation,"Document the v3 API endpoints. The partner team needs this by end of month.",2024-07-08,4,Complete
Volunteer at food bank,"Saturday food bank shift. Bring extra hands, Jake wants to volunteer too.",2024-07-13,3,Complete
Best friend Mike's birthday dinner,"Mike's birthday dinner. He picked the Brazilian steakhouse this year.",2024-07-19,2,Complete
Code review sprint,"Clear the PR backlog before the team goes on vacation rotations.",2024-07-22,3,Complete
